	director	duration_min	rating	vote_count	year	main_actors	name_rus	name_eng
794	Кевин Каррауэй	92	3.2119999999999997	767	2012	['Мэтт Барр', 'Ребекка Да Коста']	Семь футов	7 Below
795	Зэк Липовски	90	3.201	764	2013	['Дилан Постл', 'Стефани Беннетт']	Лепрекон: Начало	Leprechaun: Origins
796	Джозеф Дж. Лосон	86	3.145	586	2012	['Доминик Суэйн', 'Джейк Бьюзи']	Нацисты в центре Земли (видео)	Nazis at the Center of the Earth
797	Крэйг Мосс	80	2.888	1300	2012	['Эшли Мартин', 'Остин Майкл Скотт']	30 ночей паранормального явления с одержимой девушкой с татуировкой дракона	30 Nights of Paranormal Activity with the Devil Inside the Girl with the Dragon Tattoo
798	Мишель Таверна	82	2.865	4375	2012	['Миша Бартон', 'Ребекка Де Морнэй']	Апартаменты 1303	Apartment 1303 3D
799	Кристофер Рэй	88	2.826	580	2012	['Кармен Электра', 'Чарли О’Коннелл']	Угроза из глубины (видео)	2-Headed Shark Attack
800	Роджер Рот	86	2.792	1097	2013	['Уильям Патрик Райли', 'Саша Формосо']	Очень паранормальное кино	Paranormal Whacktivity
801	Ричард Шенкман	97	2.72	633	2012	['Билл Оберст мл.', 'Кент Инглхарт']	Авраам Линкольн против зомби (видео)	Abraham Lincoln vs. Zombies
802	Джейми Брэдшоу	102	2.5980000000000003	17569	2012	['Эд Стоппард', 'Лили Собески']	Москва 2017	Branded
803	Марк Аткинс	86	2.569	536	2012	['Корин Немек', 'Брук Хоган']	Песчаные акулы (ТВ)	Sand Sharks
804	Роберт Кромби	0	1.629	2199	2012	['Софья Ская', 'Коул Хаузер']	Белый лебедь	88 мин
805	Харви Лоури	90	0.0	0	2017	['Джек Кэмпбелл', 'Катрин Кресг']	Бесплотные	Asomatous
806	Луис Мэндилор	0	0.0	0	2014	['Абрахам Бенруби', 'Костас Мэндилор']	Then There Was	88 мин
807	Кейт Малливи	100	0.0	0	2017	['Кирстен Данст', 'Джо Коул']	Вудшок	Woodshock
808	Пенг Чжан Ли	0	0.0	0	2012	['Пенг Чжан Ли', 'Брайан Эймз']	Man from Shaolin	87 мин
809	Кевин Коннолли	0	0.0	0	2017	['Келли Престон', 'Джон Траволта']	Кодекс Готти	Gotti
810	Мартин МакДона	0	0.0	0	2017	['Фрэнсис МакДорманд', 'Калеб Лэндри Джонс']	Три биллборда на границе Эббинга, Миссури	Three Billboards Outside Ebbing
811	Джон Кэмерон Митчелл	102	0.0	0	2017	['Николь Кидман', 'Эль Фаннинг']	Как разговаривать с девушками на вечеринках	How to Talk to Girls at Parties
812	Хантер Голигоски	0	0.0	0	2012	['Хантер Голигоски', 'Madissen Moreau']	Room 13 Part 2	55 мин
813	Роб Райнер	0	0.0	0	2017	['Милла Йовович', 'Джеймс Марсден']	Шок и трепет	Shock and Awe
814	Лэйк Белл	103	0.0	0	2017	['Лэйк Белл', 'Эд Хелмс']	В чем смысл?	I Do... Until I Don't
815	Димитри Логотетис	0	0.0	0	2017	['Ален Мусси', 'Кристофер Ламберт']	Kickboxer: Retaliation	
816	Уильям Х. Мэйси	90	0.0	0	2017	['Розарио Доусон', 'Кэти Бейтс']	Кристал	Krystal
817	Джонни Мартин	0	0.0	0	2017	['Аль Пачино', 'Карл Урбан']	Виселица	Hangman
818	Брэд Андерсон	0	0.0	0	2017	['Джон Хэмм', 'Розамунд Пайк']	High Wire Act	
819	Джей Чандрашекхар	0	0.0	0	2017	['Линда Картер', 'Эммануэль Шрики']	Супер полицейские 2	Super Troopers 2
820	Brian Gaillard	0	0.0	0	2013	['Чак Смит', 'Элли Черч']	And Then YOU Die!	86 мин
821	Рохит Колин Рао	0	0.0	0	2012	['Сайлэс Гордон Бригхэм', 'Sam Repshas']	Ultrasonic	90 мин
822	Aaron Aites	0	0.0	0	2013	['Наоми Вульф', 'Бутс']	99%: The Occupy Wall Street Collaborative Film	97 мин
823	Ричард Целникер	103	0.0	0	2014	['Люк Бэйнс', 'Myko Olivier']	Когда наступает ночь	As Night Comes
824	Джаред Моше	111	0.0	0	2017	['Билл Пуллман', 'Питер Фонда']	Баллада о Лефти Брауне	The Ballad of Lefty Brown
825	Тим Гальярдо	0	0.0	0	2014	['Донаван Томас', 'Патрик Хьюм']	Wheels	115 мин
826	Andrew Marcus	0	0.0	0	2012	['Эндрю Брейтбарт', 'Орсон Бин']	Hating Breitbart	85 мин
827	Роб Райнер	98	0.0	0	2016	['Дженнифер Джейсон Ли', 'Вуди Харрельсон']	ЛБД	LBJ
828	Ли Уилкоф	0	0.0	0	2016	['Донна Мерфи', 'Нэйтан Лейн']	Без оплаты, с обнаженкой	No Pay
829	Марк Мейерс	107	0.0	0	2017	['Росс Линч', 'Энн Хеч']	Мой друг Дамер	My Friend Dahmer
830	Стивен Кижак	93	0.0	0	2016	['Ёсики Хаяси', 'Тоши']	Мы – X	We Are X
831	Анджела Робинсон	108	0.0	0	2017	['Люк Эванс', 'Ребекка Холл']	Профессор Марстон и Чудо-женщины	Professor Marston and the Wonder Women
832	Гильермо дель Торо	119	0.0	0	2017	['Салли Хокинс', 'Майкл Шеннон']	Форма воды	The Shape of Water
833	Ди Риис	134	0.0	0	2017	['Гаррет Хедлунд', 'Кэри Маллиган']	Ферма «Мадбаунд»	Mudbound
834	Жан-Стефан Совер	116	0.0	0	2017	['Джо Коул', 'Витхая Пансрингарм']	Предрассветная молитва	A Prayer Before Dawn
835	Edmond G Coisson	0	0.0	0	2016	['Фиона Дуриф', 'Пол Сорвино']	Precious Mettle	90 мин
836	Алан Хикс	84	0.0	0	2014	['Кэнди', 'Терри Лайн Керрингтон']	Продолжай идти дальше	Keep on Keepin' On
837	Джеймс Франко	103	0.0	0	2017	['Джеймс Франко', 'Дэйв Франко']	Горе-творец	The Disaster Artist
838	Линда Бладуорф-Томасон	79	7.888999999999999	98	2013	['Саша Андреев', 'Cindy Bitney']	Новобрачный	Bridegroom
839	Дэбби Гудштейн	79	0.0	0	2012	['Чазз Пальминтери', 'Энди МакДауэлл']	Могущественная красота	Mighty Fine
840	Джеймс МакДональд	0	0.0	0	2014	['Кристин Барнхарт', 'Билл Флинн']	The Reckoning	32 мин
841	Дэвид Гордон Грин	116	7.705	149	2017	['Джейк Джилленхол', 'Татьяна Маслани']	Сильнее	Stronger
842	Чарльз Хаге	0	0.0	0	2016	['Бу Бу Стюарт', 'Хезер Токуини']	Мрачные игры	Dark Games
843	Джимми Чин	90	7.631	228	2015	['Конрад Анкер', 'Грэйс Чин']	Меру	Meru
844	Онди Тимонер	100	0.0	0	2015	['Саймон Амстелл', 'Andrew Antonio']	Расселл Брэнд: второе пришествие	Brand: A Second Coming
845	Фрэнк Уэйли	0	7.5329999999999995	157	2014	['Лейтон Мистер', 'Джулиан Шатки']	Как воскресенье, так дождь	Like Sunday
846	Алекс Гибни	130	7.529	67	2013	"[""John 'FuzzFace' McMahon"", 'Алекс Гибни']"	Мы крадем секреты: История WikiLeaks	We Steal Secrets: The Story of WikiLeaks
847	Кэтрин Бигелоу	143	0.0	0	2017	['Джон Бойега', 'Уилл Поултер']	Детройт	Detroit
848	Грета Гервиг	93	0.0	0	2017	['Сирша Ронан', 'Одейя Раш']	Леди Птица	Lady Bird
849	Дэниэл Линдсэй	114	0.0	0	2017	['Генри Альфаро', 'Danny Bakewell']	Лос-Анджелес 92	LA 92
850	Билли Корбен	0	0.0	0	2014	['851357', '']	Cocaine Cowboys: Reloaded	152 мин
851	Ник Райан	95	0.0	0	2012	['Christine Barnes', 'Hoselito Bite']	Вершина	The Summit
852	Шон Бэйкер	111	0.0	0	2017	['Уиллем Дефо', 'Бруклин Принс']	Проект «Флорида»	The Florida Project
853	Джо Берлингер	107	0.0	0	2014	"['Stephen Rakes', ""Джеймс 'Уайти' Балджер""]"	Уайти: США против Джеймса Дж. Балджера	Whitey: United States of America v. James J. Bulger
854	Марк Хартли	0	7.417999999999999	112	2014	['Менахем Голан', 'Йорам Глобус']	Электрическое Бугало: Дикая, нерассказанная история Cannon Films	Electric Boogaloo: The Wild
855	Энди Каппер	94	7.407	85	2012	['Theocracy Reign Ivine Order of the Nyahbinghi', 'Др. Дре']	Перевоплощённый	Reincarnated
856	Марк Сильвер	0	0.0	0	2015	['Lucia McBath', 'Ron Davis']	3&#189; Minutes, Ten Bullets	98 мин
857	Джейсон Холл	108	0.0	0	2017	['Хейли Беннетт', 'Майлз Теллер']	Спасибо за вашу службу	Thank You for Your Service
858	Рамона С. Диаз	0	0.0	0	2012	['Джонатан Кэйн', 'Кэтрин Хайгл']	Don't Stop Believin': Everyman's Journey	105 мин
859	Джо Манганьелло	90	0.0	0	2014	['Дорман Дай', 'Джо Манганьелло']	Стрип-группа La Bare	La Bare
860	Ноа Баумбак	110	7.306	176	2015	['Брайан Де Пальма', '535347']	Де Пальма	De Palma
861	Чед Хартиган	83	0.0	0	2013	['Пол Инхорн', 'Деметриус Гросс']	Это Мартин Боннэр	This Is Martin Bonner
862	Бронуэн Хьюз	119	0.0	0	2016	['Келли Макдоналд', 'Элла Пернелл']	Путешествие – это цель	The Journey Is the Destination
863	Стив Хувер	0	0.0	0	2015	['Геннадий Мохненко', '792289']	Крокодил Геннадий	96 мин
864	Стив Джеймс	120	7.249	212	2014	['Мартин Скорсезе', 'Вернер Херцог']	Сама жизнь	Life Itself
865	Джереми Джаспер	108	0.0	0	2017	['Даниэль МакДональд', 'Бриджет Эверетт']	Патти Кейкс	Patti Cake$
866	Марк Мори	101	0.0	0	2012	['Бетти Пейдж', 'Дита Фон Тиз']	Бетти Пейдж раскрывает все	Bettie Page Reveals All
867	Джен Макгоун	111	0.0	0	2014	['Джульетт Льюис', 'Джонни Уэстон']	Келли и Кэл	Kelly & Cal
868	Антония Богданович	87	0.0	0	2014	['Ребекка Ромейн', 'Томас Сэнгстер']	Фантом Гало	Phantom Halo
869	Лесли Смолл	75	7.093999999999999	147	2013	['Кевин Харт', 'Harry Ratchford']	Кевин Харт: Дайте объяснить	Kevin Hart: Let Me Explain
870	Мартин Кэмпбелл	114	7.093	203	2017	['Кэти Льюнг', 'Джеки Чан']	Иностранец	The Foreigner
871	Тиллер Расселл	104	0.0	0	2014	['Майкл Дауд', 'Ken Eurell']	Семь пять	The Seven Five
872	Алекс Гибни	128	7.075	236	2015	['Bob Belleville', 'Chrisann Brennan']	Стив Джобс: Человек в машине	Steve Jobs: The Man in the Machine
873	Лаура Габберт	96	0.0	0	2015	['Дэвид Чанг', 'Jonathan Gold']	Город Голда	City of Gold
874		137	0.0	0	2012	['Эшер Холлоуэй', 'Захари Фокс']	Любовь, написанная кровью	Love Written in Blood
875	Шон Картер	0	0.0	0	2017	['Белла Торн', 'Йоан Гриффит']	Взлом	Keep Watching
876	Susan Glatzer	0	0.0	0	2016	['Хилари Александр', 'Эвита Арсе']	Alive and Kicking	88 мин
877	Эш Эвилдсен	0	0.0	0	2017	['Бу Бу Стюарт', 'Джон Брэдли']	Американский сатана	American Satan
878	Андре Гордон	0	0.0	0	2017	['Matthew Pohlkamp', 'Джоанна Крупа']	You Can't Have It	86 мин
879	Харви Лоури	96	0.0	0	2016	['Чарльз Агрон', 'Robin Acker']	В понедельник, в 11:01 утра	Monday at 11:01 A.M.
880	RZA	0	0.0	0	2017	['Хана Мэй Ли', 'Джон Дэвид Вашингтон']	Любовь сбивает с рифмы	Love Beats Rhymes
881	Генри Джеглом	0	0.0	0	2012	['Танна Фредерик', 'Джадд Нельсон']	Всего в 45 минутах от Бродвея	Just 45 Minutes from Broadway
882	Phillip Penza	0	0.0	0	2014	['Phillip Penza', 'Audrey Beth']	My Name Is Nobody	115 мин
883	Марк Пеллингтон	108	6.968	460	2017	['Ширли МакЛейн', 'Аманда Сайфред']	Последнее слово	The Last Word
884	Кристофер Робин Худ	90	0.0	0	2017	['Майкл Мэдсен', 'Фрида Шоу']	Горячие штучки	Dirty Dealing 3D
885	Захари Хейнзерлинг	82	6.932	90	2013	['Норико Синохара', 'Усио Синохара']	Милашка и боксер	Cutie and the Boxer
886	Алекс Гибни	124	6.931	327	2013	['Рид Альберготти', 'Бетси Андре']	Ложь Армстронга	The Armstrong Lie
887	Аль Пачино	81	6.922000000000001	334	2013	['Кевин Андерсон', 'Джессика Честейн']	Саломея	Salomé
888	Майкл Розенбаум	94	0.0	0	2014	['Морена Баккарин', 'Даниэль Бисутти']	Старые денечки	Back in the Day
889	Джордж Тиллман мл.	108	0.0	0	2013	['Скайлан Брукс', 'Этан Дизон']	Неизбежное поражение Мистера и Пита	The Inevitable Defeat of Mister & Pete
890	Джаред Мартин	98	0.0	0	2016	['Трит Уильямс', 'Элизабет Марвел']	Конгрессмен	The Congressman
891	Чарли Пол	89	6.852	70	2012	['Ральф Стэдмен', 'Джонни Депп']	Без всякой причины	For No Good Reason
892	Мэттью Спайсер	98	6.845	197	2017	['Обри Плаза', 'Элизабет Олсен']	Ингрид едет на Запад	Ingrid Goes West
893	Джеймс Д. Купер	117	0.0	0	2014	['Ричард Барнс', 'Ричи Блэкмор']	Ламберт и Стэмп	Lambert & Stamp
894	Джош Кригман	96	6.824	133	2016	['Энтони Уэйнер', 'Huma Abedin']	Винер	Weiner
895	Джон Стюарт	103	6.824	91	2014	['Гаэль Гарсиа Берналь', 'Ким Бодния']	Розовая вода	Rosewater
896	Клэй Твил	110	0.0	0	2016	['Стив Глисон', 'Mike Gleason']	Глисон	Gleason
897	Эми Берг	150	6.791	141	2012	['Майкл Баден', 'Джейсон Болдуин']	Запад Мемфиса	West of Memphis
898	Брайан Карберри	0	0.0	0	2015	['Shannon Whisnant', 'John Wood']	Finders Keepers	82 мин
899	Нил Джонсон	86	0.0	0	2012	['Рейчел Димария', 'Алекс Белл']	Чужеродный рассвет	Alien Dawn
900	Давид Анадльман	90	0.0	0	2013	['Лео Фицпатрик', 'Тайлер Росс']	Американский молочный коктейль	American Milkshake
901	Лу Хоу	85	6.712999999999999	194	2014	['Рори Калкин', 'Линн Коэн']	Гэбриэл	Gabriel
902	Эрик Шеффер	95	0.0	0	2014	['Мишель Хендли', 'Александра Туршен']	Парень встречает девушку	Boy Meets Girl
903	Стефен Белбер	92	0.0	0	2014	['Янис Машебёф', 'Патрик Стюарт']	Матч	Match
904	Роберт Гордон	87	0.0	0	2015	['Пол Ньюман', 'Келси Грэммер']	Лучшие враги	Best of Enemies
905	Боб Яри	110	0.0	0	2015	['Джованни Рибизи', 'Джоэли Ричардсон']	Папа: Хемингуэй на Кубе	Papa Hemingway in Cuba
906	Эми Берг	99	0.0	0	2014	['Evan Henzi', 'Michael Egan III']	Открытый секрет	An Open Secret
907	Мартин Гиги	90	0.0	0	2017	['Чарли Шин', 'Вупи Голдберг']	11 сентября	9/11
908	Зак Келлер	73	6.665	110	2013	['Эд Скаддер', 'Зак Келлер']	Долбанутые	Dick Figures: The Movie
909	Кристал Мосилль	90	6.66	353	2015	['Бхагаван Ангуло', 'Говинда Ангуло']	Волчья стая	The Wolfpack
910	Давид Лево	107	6.66	301	2016	['Лили Джеймс', 'Джай Кортни']	Исключение	The Exception
911	Кэт Койро	83	6.6579999999999995	179	2012	['Кейт Босворт', 'Джейми Блэкли']	Пока мы были здесь	And While We Were Here
912	D.M.W. Greer	96	6.654	307	2013	['Трент Форд', 'Тэмми Бланчард']	Горящая синева	Burning Blue
913	Пабло Ларраин	107	6.645	112	2016	['Луис Ньекко', 'Гаэль Гарсиа Берналь']	Неруда	Neruda
914	Мэттью Лиллард	94	0.0	0	2012	['Джакоб Уайсоки', 'Мэтью О’Лири']	Миром правит толстый мальчик	Fat Kid Rules the World
915	Тони Алупис	84	6.622000000000001	302	2015	['Эван Питерс', 'Джуно Темпл']	Безопасное освещение	Safelight
916	Крис Пековер	89	6.606	409	2016	['Оливия ДеДжонг', 'Леви Миллер']	Смотри по сторонам	Better Watch Out
917	Кларк Грегг	90	0.0	0	2013	['Кларк Грегг', 'Фелисити Хаффман']	Доверься мне	Trust Me
918	Ишай Сеттон	80	0.0	0	2012	['Лора Припон', 'Брайан Гринберг']	Кухня	The Kitchen
919	Роберт Таунзенд	0	0.0	0	2012	['Майкл Кларк Дункан', 'Лоретта Дивайн']	В улье	In the Hive
920	Амир Бар-Лев	238	0.0	0	2017	['Джон Перри Барлоу', 'Tom Constanten']	Долгое странное путешествие	Long Strange Trip
921	Бретт Рэпкин	90	0.0	0	2016	['Джош Дюамель', 'У. Эрл Браун']	Космонавт	Spaceman
922	Дэйв Родригез	98	0.0	0	2013	['Пол Сорвино', 'Майкл Рапапорт']	Последнее, что я слышал	Last I Heard
923	Дастин Рикерт	84	0.0	0	2013	['Пол МакКарти-Бойингтон', 'Уильям Шокли']	Необычные раскопки	Dug Up
924	Меган Гриффитс	97	6.4910000000000005	150	2012	['Джейми Чанг', 'Мэтью О’Лири']	Эден	Eden
925	Марк Уэбб	88	6.4879999999999995	243	2017	['Каллум Тернер', 'Джефф Бриджес']	Единственный живой парень в Нью-Йорке	The Only Living Boy in New York
926	Шол Шварц	103	6.475	118	2013	['731267', '']	Наркокультура	Narco Cultura
927	Майкл Двайер	88	0.0	0	2015	['Вероника Сикстос', 'Хулио Седильо']	Враждебная граница	Pocha: Manifest Destiny
928	Мира Наир	130	6.435	375	2012	['Риз Ахмед', 'Кейт Хадсон']	Фундаменталист поневоле	The Reluctant Fundamentalist
929	Себастьян Юнгер	0	0.0	0	2014	['ЛаМонта Колдуэлл', 'Мигель Кортез']	Korengal	84 мин
930	Деррик Борте	92	0.0	0	2016	['Том Хьюз', 'Джонатан Риз Майерс']	Лондон-Таун	London Town
931	Юссеф Делара	80	0.0	0	2012	['Джина Родригез', 'Khool-Aid Rios']	Филли Браун	Filly Brown
932	Расселл Фриденберг	93	0.0	0	2015	['Глен Пауэлл', 'Руди Янгблад']	Холод	Wind Walkers
933	Филипп Фалардо	98	6.346	225	2016	['Элизабет Мосс', 'Наоми Уоттс']	Реальный Рокки	The Bleeder
934	Коли Сон	87	0.0	0	2012	['Анна Ганн', 'Эшли Рикардс']	Нахальные трусики	Sassy Pants
935	Элай Рот	0	0.0	0	2017	['Брюс Уиллис', 'Винсент Д’Онофрио']	Жажда смерти	Death Wish
936	Джордж Клуни	104	0.0	0	2017	['Стив Монро', 'Gavin Wilde']	Субурбикон	Suburbicon
937	Stephanie Soechtig	0	0.0	0	2016	['Кэти Курик', 'Тед Крус']	Under the Gun	110 мин
938	Джереми Ксидо	0	0.0	0	2012	['Соня Феррейра', 'Вилкер Флорес']	Death Metal Angola	90 мин
939	Хэнк Брэкстэн	95	0.0	0	2014	['Натали Виктория', 'Ариэль Брачфелд']	Химическая чистка	Chemical Peel
940	Бретт Хейли	93	6.329	123	2017	['Кристен Риттер', 'Лора Припон']	Герой	The Hero
941	Айра Сакс	98	6.327000000000001	283	2014	['Альфред Молина', 'Джон Литгоу']	Любовь – странная штука	Love Is Strange
942	Оливер Шмитц	106	6.325	151	2016	['Андреа Райзборо', 'Стив Куган']	Пастыри и палачи	Shepherds and Butchers
943	Шелдон Кэндис	94	6.297000000000001	165	2012	['Майкл Рейни мл.', 'Трэйси Хеггинс']	Урок от дяди Винсента	LUV
944	Джош Монд	85	6.2860000000000005	235	2015	['Кристофер Эбботт', 'Синтия Никсон']	Джеймс Уайт	James White
945	Лиз В. Гарсиа	94	6.257000000000001	188	2013	['Кристен Белл', 'Мэми Гаммер']	Спасатель	The Lifeguard
946	Дэвид Чейз	112	6.256	71	2012	['Джон Магаро', 'Джек Хьюстон']	Не исчезай	Not Fade Away
947	Джастин Симиен	108	6.252000000000001	189	2014	['Тайлер Джеймс Уильямс', 'Тесса Томпсон']	Уважаемые белые люди	Dear White People
948	Хорхе Инохоса	89	0.0	0	2012	['Betty Beck', 'Camille Beck']	Айсберг Слим: Портрет сутенера	Iceberg Slim: Portrait of a Pimp
949	Стивен Джилленхол	100	6.247000000000001	149	2012	['Джейсон Биггз', 'Джоэль Мур']	Выборы-выборы	Grassroots
950	Лесли Смолл	96	0.0	0	2016	['Кевин Харт', 'Холли Берри']	Кевин Харт: Что теперь?	Kevin Hart: What Now?
951	Джастин Типпинг	80	6.2410000000000005	443	2016	['Джакинг Гиллори', 'Кристофер Джордан Уоллес']	Кроссы	Kicks
952	Трей Эдвард Шульц	83	6.24	295	2015	['Криша Фэйрчайлд', 'Алекс Добренко']	Криша	Krisha
953	Тодд Роэл	79	0.0	0	2012	['Мора Тирни', 'Джонни Ноксвил']	Зов природы	Nature Calls
954	Седрик Жименес	120	6.236000000000001	263	2017	['Розамунд Пайк', 'Миа Васиковска']	Мозг Гиммлера зовется Гейдрихом	HHhH
955	Стивен Бернстин	91	6.232	57	2013	['Хелен Хант', 'Саманта Мортон']	Расшифровка Энни Паркер	Decoding Annie Parker
956	Уилльям Салливан	101	6.222	153	2015	['Луиса Краузе', 'Гэбриел Эберт']	Джейн хочет бойфренда	Jane Wants a Boyfriend
957	Анна Мартемуччи	88	0.0	0	2014	['Рэйчел Келлер', 'Тобин Митник']	Холлидейсберг	Hollidaysburg
958	Дон Чидл	100	6.197	489	2015	['Дон Чидл', 'Юэн МакГрегор']	В погоне за Майлзом	Miles Ahead
959	Кайл Патрик Альварез	92	6.197	99	2013	['Джонатан Грофф', 'Дэнис О’Хэр']	Божье дитя	C.O.G.
960	Мартин Вайз	102	6.188	447	2014	['Габриэлла Уайлд', 'Томас Деккер']	Поселенцы (видео)	Squatters
961	Тайлер МакИнтайр	98	0.0	0	2017	['Джош Хатчерсон', 'Брианна Хилдебранд']	Убить за лайк	Tragedy Girls
962	Джозеф Рубин	106	6.169	278	2017	['Михил Хаушман', 'Гера Хилмарсдоттир']	Горы и камни	The Ottoman Lieutenant
963	Меган Гриффитс	97	6.162999999999999	166	2013	['Тони Коллетт', 'Томас Хейден Чёрч']	Везунчики	Lucky Them
964	Азазель Джейкобс	94	0.0	0	2017	['Джессика Сула', 'Эйдан Гиллен']	Любовники	The Lovers
965	Тимоти Хайнс	111	0.0	0	2015	['Кэролайн Бэрри', 'Кристофер Ламберт']	10 дней в сумасшедшем доме	10 Days in a Madhouse
966	Джей Карас	90	0.0	0	2014	['Джереми Систо', 'Дэвид Уолтон']	Переломный момент	Break Point
967	Пол Далио	106	6.148	217	2015	['Кэти Холмс', 'Люк Кирби']	Прикосновение огнём	Touched with Fire
968	Пол Боргезе	116	0.0	0	2013	['Арманд Ассанте', 'Уильям ДеМео']	Однажды в Бруклине	Once Upon a Time in Brooklyn
969	Джиллиан Робеспьер	93	0.0	0	2017	['Дженни Слейт', 'Финн Уиттрок']	Телефонная линия	Landline
970	Kerry Bellessa	0	0.0	0	2012	['Summer Bellessa', 'Крис Хилл']	Желтый сигнал	Amber Alert
971	Шари Спрингер Берман	113	6.132999999999999	261	2015	['Генри Келемен', 'Джулианна Николсон']	Десять тысяч святых	10,000 Saints
972	Джозеф Седар	118	6.127999999999999	439	2016	['Ричард Гир', 'Лиор Ашкенази']	Норман: Умеренный взлет и трагическое падение нью-йоркского посредника	Norman: The Moderate Rise and Tragic Fall of a New York Fixer
973	Ричард Глацер	94	0.0	0	2013	['John Hudson Messerall', 'Дакота Фаннинг']	Последний из Робин Гудов	The Last of Robin Hood
974	Майкл Мэйлер	98	6.091	184	2017	['Деми Мур', 'Алек Болдуин']	Слепец	Blind
975	Себастьян Сильва	101	6.084	78	2015	['Кристен Уиг', 'Себастьян Сильва']	Противный ребёнок	Nasty Baby
976	Софи Гудхарт	85	6.077999999999999	105	2016	['Адам Скотт', 'Ник Кролл']	Мой слепой брат	My Blind Brother
977	Simon Atkinson	85	0.0	0	2016	['Белла Торн', 'Киан Лоули']	Друзья до гроба	Shovel Buddies
978	Спайк Ли	121	0.0	0	2012	['Лимари Агосто', 'Сумайя Али']	Лето в Ред Хук	Red Hook Summer
979	Майк Бирбиглия	92	6.068	395	2016	['Майк Бирбиглия', 'Гиллиан Джейкобс']	Не думай дважды	Don't Think Twice
980	Дэвид Уорт	91	0.0	0	2014	['Джеймс Оливер', 'Джонатан Мангум']	Дом в конце пути	House at the End of the Drive
981	Даниэль Дуран	112	6.0520000000000005	281	2015	['Лукас Тилл', 'Мария Белло']	Нити	Strings
982	Дастин Рикерт	105	0.0	0	2012	['Крис Энджен', 'Шири Дж. Уилсон']	Беспечный ездок: Снова в седле	Easy Rider: The Ride Back
983	Клеа ДюВалл	90	6.045	315	2016	['Мелани Лински', 'Джейсон Риттер']	Вмешательство	The Intervention
984	Майкл Мохан	98	6.037000000000001	175	2012	['Лиззи Каплан', 'Элисон Бри']	Важная дата	Save the Date
985	Крис Эска	92	6.032	142	2013	['Эштон Сандерс', 'Тишуан Скотт']	Поиск	The Retrieval
986	Фабрис Дю Вельц	102	6.023	283	2016	['Чедвик Боузман', 'Тереза Палмер']	Послание от Кинга	Message from the King
987	Макс Майер	118	6.0120000000000005	298	2013	['Сара Болгер', 'Томас Манн']	Крут как я	As Cool as I Am
988	Бен Сэфди	94	6.006	426	2014	['Buddy Duress', 'Рон Браунштейн']	Бог знает что	Heaven Knows What
989	Эндрю Левитас	117	6.006	250	2014	['Гаррет Хедлунд', 'Ричард Дженкинс']	Колыбельная	Lullaby
990	Шон Мьюшо	105	6.002999999999999	455	2015	['Ребекка Холл', 'Джейсон Судейкис']	Бессмертные	Tumbledown
991	Гэбриел Кауэн	90	0.0	0	2014	['Уэс Бентли', 'Винсент Пьяцца']	Три ночи в пустыне	3 Nights in the Desert
992	Питер Казенс	94	0.0	0	2014	['Кьюба Гудинг мл.', 'Уильям Сэдлер']	Свобода	Freedom
993	Сара-Вайолет Блайс	98	0.0	0	2014	['Bridey Elliott', 'Клер МакНалти']	Форт Тилден	Fort Tilden
994	Федерико Кастеллуччо	0	0.0	0	2016	['Трой Гэрити', 'Пол Сорвино']	The Brooklyn Banker	95 мин
995	Шака Кинг	0	0.0	0	2013	['Амари Читом', 'Траэ Харрис']	Newlyweeds	87 мин
996	Лоуренс Шер	0	0.0	0	2017	['Кристофер Уокен', 'Дж.К. Симмонс']	Кто наш папа, чувак?	Father Figures
997	Дастин Рикерт	0	0.0	0	2013	['Бэрри Корбин', 'Джо Ландо']	Born Wild	
998	Дастин Рикерт	0	0.0	0	2012	['Сидни Пенни', 'Дженнифер Бланк']	Dark Canyon	90 мин
999	Джон К.Д. Грэхэм	79	0.0	0	2013	['Александра Бойлэн', 'Raquel Cantu']	Дом, милый дом	Home Sweet Home
1000	Чарльз Мюррэй	0	0.0	0	2013	['Шанола Хэмптон', 'Элиму Нельсон']	Things Never Said	111 мин
1001	Кори Грант	0	0.0	0	2015	['Эмбер Роуз', 'Эва Пигфорд']	Sister Code	84 мин
1002	Валери Уайсс	90	0.0	0	2015	['Тэрин Мэннинг', 'Мэдисон Девенпорт']	Свет под ногами	A Light Beneath Their Feet
1003	Ричард Линклейтер	0	0.0	0	2017	['Стив Карелл', 'Брайан Крэнстон']	Последний взмах флага	Last Flag Flying
1004	Эндрю Вагнер	0	0.0	0	2017	['Холли Хантер', 'Тони Шэлуб']	Breakable You	120 мин
1005	Ямал Джозеф	0	0.0	0	2015	['Дэниэл Бити', 'Лоретта Дивайн']	Chapter &#38; Verse	97 мин
1006	Роберт Фонтейн мл.	0	0.0	0	2015	['Роберт Фонтейн мл.', 'Майкл Брэйнэрд']	Mi America	90 мин
1007	Борис Акоста	25	5.986000000000001	145	2013	['Арман Мастрояни', 'Эрик Робертс']	Ад Данте (видео)	Dante's Hell Animated
1008	Аарон Кац	95	5.978	306	2014	['Эрл Линн Нельсон', 'Пол Инхорн']	Земля Хо!	Land Ho!
1009	Роб Райнер	97	5.9639999999999995	193	2015	['Ник Дж. Робинсон', 'Морган Сэйлор']	Быть Чарли	Being Charlie
